alpha,weighting,student_acc_mean,student_acc_std,gap_recovery_mean,gap_recovery_std,macro_f1_mean
0.1000,top_1,0.7790,0.0048,-96.3294,11.7181,0.7782
0.1000,top_3,0.8128,0.0037,-32.8790,6.7912,0.8132
0.1000,uniform,0.7870,0.0062,-80.9560,9.5109,0.7897
0.5000,top_1,0.8247,0.0061,-10.5630,12.2187,0.8233
0.5000,top_3,0.8367,0.0038,11.7559,8.9393,0.8358
0.5000,uniform,0.8285,0.0013,-3.7570,1.2140,0.8264
1.0000,top_1,0.8291,0.0013,-2.5362,3.5868,0.8280
1.0000,top_3,0.8408,0.0003,19.2726,2.6605,0.8398
1.0000,uniform,0.8453,0.0024,27.7592,6.9765,0.8440
10.0000,top_1,0.8326,0.0040,4.1054,8.8802,0.8320
10.0000,top_3,0.8414,0.0028,20.4933,7.4613,0.8408
10.0000,uniform,0.8459,0.0041,28.9465,10.1927,0.8449
100.0000,top_1,0.8357,0.0061,9.9777,13.0858,0.8350
100.0000,top_3,0.8424,0.0048,22.4387,11.2372,0.8416
100.0000,uniform,0.8453,0.0010,27.7035,4.3357,0.8448
